2026-04-11 15:07:32.885 [info] No MCP servers configured, closing all existing connections
2026-04-11 15:07:32.900 [info] No MCP servers configured, closing all existing connections
2026-04-11 15:53:08.874 [info] No MCP servers configured, closing all existing connections
2026-04-11 15:53:08.923 [info] No MCP servers configured, closing all existing connections
2026-04-11 15:53:09.356 [info] No MCP servers configured, closing all existing connections
2026-04-11 16:43:32.858 [info] No MCP servers configured, closing all existing connections
2026-04-11 16:43:32.865 [info] No MCP servers configured, closing all existing connections
2026-04-11 16:43:33.047 [info] No MCP servers configured, closing all existing connections
2026-04-11 16:43:33.053 [info] No MCP servers configured, closing all existing connections
2026-04-11 16:43:33.360 [info] No MCP servers configured, closing all existing connections
2026-04-11 17:33:58.266 [info] No MCP servers configured, closing all existing connections
2026-04-11 17:33:58.280 [info] No MCP servers configured, closing all existing connections
2026-04-11 17:33:58.766 [info] No MCP servers configured, closing all existing connections
